corpusid|source|context|senseid
278704965|chile_tech|Los educadores, los profesionales y las pequeñas empresas deben producir materiales colaterales de calidad profesional, desde folletos, cartas, y reportes en tiempo limitado, con un escaso presupuesto y sin experiencia en diseño.|LETTER_00
280068127|chile_tech|Los usuarios pueden jugar, comunicarse y conectarse en línea para juegos interactivos de cartas, tableros, fichas y otros|CARD_00.
278736013|chile_tech|Según la carta de intenciones, firmada en diciembre de 2000, las tres empresas compartirán sus recursos para prestar servicios de gestión de viajes a más de dos millones de clientes.|LETTER_00
278863520|chile_tech|Las tres compañías orientadas a la aeronavegación mundial anunciaron la firma de una carta de intención para desarrollar una iniciativa empresarial global para proveer comunicaciones de banda ancha y servicio de información digital para la aviación comercial.|LETTER_00
278913717|chile_tech|En febrero de el presente año, CasaChile.cl publicó una carta de un lector de Australia que solicitaba ayuda para ubicar a un hermano.|LETTER_00
278931387|chile_tech|Tras la situación, Network Solutions bloqueó la petición de el dominio, enviando una carta a Chile Networks, en la cual informaba haber acogido la petición de Chilenet de detener el uso de los dominios, restandoles 37 días para apelar.|LETTER_00
278955422|chile_tech|Como un paso fundamental en el compromiso de Cisco Systems con la educación de Chile, el Presidente y CEO de la compañía John Chambers y el Presidente de la República de Chile, Ricardo Lagos, firmaron una carta de compromiso a través de la cual Cisco entregará un grupo de herramientas para facilitar la formación y el perfeccionamiento de los profesores chilenos.|LETTER_00
278955447|chile_tech|La carta considera la donación, a través de el Cisco Learning Institute (CLI), de una solución de e.Learning (aprendizaje en red) basada en la Web, que permite la creación de cursos y entrega herramientas de administración para un ambiente personalizado de e.Learning para la disponibilidad de contenidos y la evaluación de sus usuarios.|LETTER_00
278955612|chile_tech|La firma de esta carta foma parte de un constante compromiso de Cisco Systems con la educación, tanto a nivel global, como en Chile.|LETTER_00
279189100|chile_tech|El sistema de código de barra, bajo el concepto de módulos automatizados, permite un control de inventario fidedigno de la trayectoria que siguió la carta desde que se despachó hasta que llegó a destino.|LETTER_00
279189129|chile_tech|Es decir, tanto Envíos, como el cliente, pueden realizar la búsqueda y seguimiento de las cartas en cualquier momento de su recorrido.|LETTER_00
427214016|la_cuarta|La rubia tarotista, que ahora lee las cartas en el programa de Ivette Vergara, debutó en pantalla como la sirena de 'Corazón Partío' (TVN).|CARD_00
427214159|la_cuarta|Hace dos años se casó con un suertudo chileno que no tiene nada que ver con el mundo esotérico. 'Él es sumamente terrestre, pero le tiene mucho respeto a esto', cuenta mientras baraja las cartas en una mesita de su local.|CARD_00
427257926|la_cuarta|la cuarta: El mago tenía una carta bajo la manga|CARD_00
427257948|la_cuarta|El mago tenía una carta bajo la manga|CARD_00
427306563|la_cuarta|Dicha labor recaerá en el Ministerio de Relaciones Exteriores, donde ya se halla la carta rogatoria para su tramitación, 'a fin de que se sirva ordenar las diligencias diplomáticas que sean necesarias', indica el fallo de la Suprema.|LETTER_00
427307697|la_cuarta|Según estas fuentes, el informe sólo sería un recurso inventado por el ex detective para entrar a el negocio de el soplonaje a alto nivel, y ocupar el vacío que dejó en este mercado la dupla formada por Lenin Guardia y Humberto López Candia, que quedaron fuera de combate tras ser encanados por el caso de las cartas bombas.|LETTER_00
427307991|la_cuarta|En el lugar Liliana dejó una carta dirigida a sus hijos.|LETTER_00
427318190|la_cuarta|Caballero tuvo el mejor taco como si le hubiesen dado un taco de manos de Thalía quedó el volante argentino nacionalizado mexicano Gabriel Caballero, quien dijo sentirse en las nubes por su convocatoria para formar parte de la selección cuate, que irá a charrasquear a el Mundial asiático. 'Es un sueño caro; me disponía a ver el Mundial por tele y de repente llegó la convocatoria', dijo Caballero, jugador de los Tuzos de el Pachuca y que en diciembre pasado recibió su carta de ciudadanía azteca.|LETTER_00
427323868|la_cuarta|Lorena Osorio, de 23 años, quien tiene discapacidad física, no pudo aguantar las lágrimas cuando recibió el premio especial a la superación por haberse trasladado desde Requínoa, en la Sexta Región, a Santiago para asistir a el curso. 'Por una carta nos enteramos que existía la fundación y mi hermana que vive en Santiago me recibió en su casa. Ahora estoy feliz por todo lo que he aprendido, pero me hace falta encontrar pega, porque para eso uno se capacita', dijo junto a su querida hermana.|LETTER_00
427331282|la_cuarta|Informe de Contraloría afecta orden público de la nación', reza apocalíptica carta de galenos.|LETTER_00
427331618|la_cuarta|El informe ha servido para armar un escándalo público con grave perjuicio para el país y que por cierto afecta el orden público de la nación, a el amenazar la destrucción de la cohesión interna de el sistema de salud estatal', dice la carta colorienta.|LETTER_00
427343189|la_cuarta|Correos entregó cartas y estelas a ladrillos de ex Peni y también a pelados de el Buin.|LETTER_00
427343227|la_cuarta|Los pelados de el Regimiento Buin aprovecharon de escribir y enviar altiro las cartas a sus progenitoras.|LETTER_00
415118538|la_cuarta|La movida fue en las categorías magia de cerca (juegos con cartas, monedas y artículos pequeños) y de salón o escenario (trucos mentales, ilusionismo y escapismo).|CARD_00
415409167|la_cuarta|Por un error, asimilamos a el rol a 'Magic' y a otros juegos con cartas que sería 'como comparar los juegos de salón con el caballito de bronce', dicen los roleros.|CARD_00
424268414|la_cuarta|Por ejemplo, un juego de cartas o de otro tipo donde siempre exista un ganador y un perdedor.|CARD_00
515594379|el_mercurio|La carta demuestra vigencia, coherencia en la elección de las etiquetas y ofertas para todos los gustos.|LETTER_00
515594405|el_mercurio|El año pasado fue elegida como la mejor carta de vinos de Santiago, por la 'Guía de vinos de Chile' (editada por Paula Comunicaciones).|MENU_00
515594930|el_mercurio|En la categoría 'Mejor carta de vinos' hubo dos personas se abstuvieron.|MENU_00
515596029|el_mercurio|De la carta donde ningún plato de pescado está originalmente concebido para tintos, advierte sugiere indagar en las combinaciones entre el kimiday con salsa de crema y ostiones (6.500) junto a un pinot noir reserva, pues la barrica le aporta la mantequilla necesaria; o la sabrosa tilapia a la oliva (6.300) con malbec, ya que los dos últimos van muy bien.|MENU_00
515596311|el_mercurio|Incluso, ya han llegado a las cartas de los restaurantes de mantel largo con altas dosis de creatividad y sofisticación.|MENU_00
515599184|el_mercurio|Aunque el grueso de la carta se centra en la parrilla, y dentro de ésta en los cortes de vacuno, se ofrecen también en esa forma embutidos, interiores, cordero, cerdo, pollo y pescados, y además unas pocas entradas. innecesarias dado el tamaño de las porciones una decena de platos cocinados con pastas, pescados y por cierto carnes y varias ensaladas.|MENU_00
515600079|el_mercurio|El actual chef, Cristián Rebolledo, ofrece una carta claramente inspirada en esa cocina, pero con aportes personales interesantes.|MENU_00
515601757|el_mercurio|El público tiene dos opciones: el menú didáctico (2.900), que es el que elaboran los alumnos de último año, y los platos de la carta.|MENU_00
515601818|el_mercurio|A la carta hay seis variedades de carnes (como lomo vetado, 2.800 o pechuga de pollo deshuesada, 2.800), cuatro alternativas de pescados (como salmón en salsa de camarones, 3.900 o trucha arlequín, 4.500 ) y fetuccini a la marinera (3.600) o Alfredo (2.600).|MENU_00
515602697|el_mercurio|La carta ofrece numerosos mariscos y carnes, con variadas salsas y algunas especialidades de estilo cajoun; y los postres, todos hechos en casa incluidos los helados, se presentan en un gran naipe cuyas cartas llevan las respectivas fotografías.|MENU_00
515603090|el_mercurio|A un costado de el Mercado de Providencia nos topamos con este minimalista restaurante que tras su sicodélica entrada nos invita a disfrutar de una decoración moderna, pero acogedora, música electrónica y una contundente carta que combina sabores, especies y aliños a la perfección.|MENU_00
515603389|el_mercurio|Se puede empezar desde las 8:00 AM (incluso domingos) con un buen café y un crujiente croissant hecho en casa, para continuar a lo largo de el día con la inédita y sorprendente selección de sabores de la carta, en cuya preparación se ha cuidado hasta el último detalle.|MENU_00
515603848|el_mercurio|Pero su mayor gracia está en la carta: aquí se ofrecen pescados chilenos que no se encuentran fácilmente, como el rollizo, la cojinova, la palometa, el vilagai y vieja.|MENU_00
515604227|el_mercurio|Este restaurante, ubicado en Vitacura y que se inauguró tan sólo hace tres meses, sorprende por la variedad de platos que su carta contempla.|MENU_00
515604260|el_mercurio|Con una carta extravagante, en la que se encuentran distintos sabores, como por ejemplo, sushi con fruta, envueltos en queso crema, fritos, calientes y enteros, este local hace notar la diferencia.|MENU_00
537395192|el_mercurio|¿Llegarán otros juegos? ­pregunta ansioso en la tienda Warner, un gringo de dos metros que ya ha comprado cartas, una lámpara, dos camisetas, una manta, varios cuadernos y, por supuesto, la edición completa de las aventuras de el mago con anteojos.|CARD_00
531294538|el_mercurio|La fiesta de el Nacional, además, considera la inauguración de el Museo de Mitos y Leyendas, con la historia, principales hitos y datos técnicos de el único juego de cartas de estrategia chileno.|CARD_00
582693602|la_segunda|Según el relato que está en manos de la SVS, en la carta fechada el 15 de noviembre, AES cuestiona que si los ADR no emiten una posición sobre los temas a tratar en la junta la aprobación de la alianza, propuesta por TotalFinaElf será el presidente de el directorio quien deberá decidir por ellos.|LETTER_00
